,URL,Sentence
1,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Structural static and/or non-linear analysis
2,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Modal and/or frequency domain analysis
3,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Computational fluid dynamics analysis
4,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Heat transfer or thermal analysis
5,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Sensors and instrumentation
6,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,A mechanical or mechatronics engineering degree or equivalent qualification
7,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,2+ years hands on testing experience within in a similar industry
8,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,A proven track record of contributing a successful engineering project from conception to operation
9,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,A solid mechanical and electrical understanding and able to demonstrate good hands skills with mechanical and electrical assemblies
10,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Proactive, enthusiastic, creative and open to learning"
11,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The ability to work under pressure and to tight deadlines
12,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Excellent communication skills and the ability to work well within a team environment
